epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.6485,1.95227,3.21721,1.82777,0.6081,0.50604,0.53421,0.24541,1.67627,1.67092,1.54045,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,118.602,1.7511,1.90993,1.60272,0.47709,0.50904,0.44834,0.20225,1.77849,1.83587,1.69174,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,166.63,1.84381,2.00009,1.67768,0.30843,0.17056,0.10818,0.03302,2.64303,4.65299,2.51866,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,214.697,1.93229,2.17155,1.78743,0.33553,0.36628,0.27069,0.0996,2.1434,3.27921,2.11275,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,262.799,1.88464,2.08986,1.76352,0.44568,0.43908,0.38829,0.15268,1.88469,3.01612,1.88556,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,310.884,1.81939,1.97943,1.72094,0.48837,0.47783,0.46584,0.19709,1.83552,2.17333,1.80843,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,359.011,1.77305,1.88263,1.68385,0.47644,0.47728,0.44809,0.1861,1.91393,2.33878,1.83253,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,406.892,1.7187,1.78045,1.6462,0.54654,0.59845,0.57599,0.26356,1.65494,1.81899,1.68212,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,454.752,1.70318,1.74756,1.63519,0.6216,0.62291,0.63746,0.30307,1.64785,1.52569,1.63445,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,502.881,1.67493,1.68675,1.61349,0.64417,0.61149,0.64026,0.31137,1.65961,1.63542,1.64037,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,551.016,1.64013,1.64217,1.58247,0.61945,0.65183,0.66548,0.33062,1.61535,1.50089,1.61846,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,599.036,1.62172,1.60418,1.56953,0.64234,0.67197,0.67219,0.33405,1.57428,1.51558,1.5711,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,647.039,1.59003,1.54043,1.5439,0.63518,0.67017,0.67413,0.34157,1.57819,1.41511,1.56603,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,695.196,1.57977,1.50789,1.53947,0.60645,0.64168,0.6325,0.30502,1.62249,1.52484,1.64099,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
