epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.751,1.85435,4.37686,0.01678,0.45646,0.30784,0.28033,0.11513,1.81953,2.52189,0.02235,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,175.624,1.78349,2.23548,0.01578,0.51451,0.50204,0.48072,0.21309,1.77405,2.00641,0.02237,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,242.375,1.84834,2.17553,0.01689,0.46112,0.3465,0.29934,0.11393,2.08465,2.65502,0.02846,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,309.265,1.93265,2.26754,0.01843,0.38014,0.31225,0.24146,0.0849,2.11127,2.81609,0.02847,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,375.731,1.9153,2.20343,0.01838,0.30348,0.29464,0.20975,0.07913,2.26371,2.71479,0.032,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,442.058,1.90238,2.09179,0.0179,0.52859,0.53506,0.51263,0.22326,1.83434,1.77941,0.02346,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,508.551,1.85608,2.01844,0.01754,0.54215,0.51148,0.49845,0.21164,1.85663,1.68715,0.02484,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,575.261,1.82736,1.89575,0.01689,0.51131,0.59168,0.53871,0.23162,1.79622,1.74191,0.02346,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,641.812,1.82005,1.86361,0.01687,0.57603,0.58949,0.58323,0.27444,1.75165,1.60368,0.02197,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,708.499,1.77001,1.81203,0.0161,0.56152,0.58509,0.5823,0.27338,1.74958,1.68184,0.02227,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,774.974,1.75867,1.77164,0.01602,0.63917,0.64001,0.66207,0.32216,1.67563,1.41387,0.0211,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,841.779,1.73332,1.73218,0.01565,0.62672,0.64442,0.65932,0.31376,1.66416,1.37775,0.02165,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,907.873,1.71898,1.66317,0.01543,0.62655,0.65971,0.67723,0.3258,1.69964,1.35765,0.02113,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,974.886,1.71316,1.64504,0.01533,0.65105,0.65985,0.69619,0.33536,1.69785,1.2684,0.02086,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1041.58,1.67814,1.59616,0.01499,0.62785,0.63807,0.64159,0.31202,1.6828,1.40461,0.02101,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1107.95,1.66375,1.53697,0.01458,0.58576,0.60609,0.60388,0.27112,1.77314,1.62158,0.02278,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1174.67,1.64479,1.51397,0.0145,0.71062,0.69384,0.75296,0.37307,1.62359,1.1606,0.01957,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1241.18,1.6386,1.48513,0.01439,0.68294,0.6622,0.70716,0.35027,1.61584,1.25893,0.01944,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1307.51,1.61791,1.44935,0.01436,0.72717,0.67716,0.73863,0.38058,1.61006,1.13108,0.01903,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1373.92,1.61317,1.42099,0.01404,0.7027,0.71341,0.74975,0.38021,1.62703,1.12513,0.01962,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1440.28,1.59472,1.36497,0.01395,0.68973,0.71885,0.75357,0.38035,1.56296,1.06257,0.0193,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1506.53,1.58631,1.33497,0.01373,0.73701,0.71787,0.7786,0.40402,1.59935,1.0495,0.01938,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1572.9,1.55309,1.32517,0.01342,0.77022,0.74119,0.81694,0.42262,1.56003,0.99019,0.01852,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1639.34,1.55646,1.31039,0.01364,0.76416,0.72877,0.79323,0.4135,1.57331,1.03281,0.01882,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
