epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.4043,2.0315,3.57363,1.86242,0.33208,0.30285,0.24966,0.10111,1.98836,2.41031,1.73965,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,116.754,1.91406,2.43467,1.7044,0.41078,0.38843,0.35986,0.14866,1.90811,2.3911,1.78199,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,152.035,1.97775,2.37649,1.75959,0.02415,0.12045,0.00969,0.003,2.79925,8.50242,2.87587,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,187.059,2.0433,2.40499,1.81465,0.35672,0.27306,0.24175,0.09106,2.14618,2.70531,2.05418,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,222.076,1.99427,2.29417,1.79938,0.32295,0.37144,0.24408,0.09464,2.05011,4.40374,1.94951,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,257.086,1.93848,2.18562,1.75919,0.37586,0.40549,0.33997,0.14199,1.92848,2.14218,1.80708,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,291.954,1.87291,2.09538,1.70699,0.5161,0.40632,0.41457,0.17406,1.8451,2.17009,1.74066,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,326.681,1.83985,2.01839,1.68863,0.39485,0.34414,0.30669,0.12239,2.0021,2.17383,1.85009,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,361.281,1.82191,1.98861,1.66803,0.51021,0.52474,0.52118,0.22126,1.75861,1.78917,1.68852,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,396.035,1.80409,1.92283,1.64202,0.55136,0.4913,0.51018,0.2288,1.79697,1.86012,1.6613,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,430.851,1.77844,1.88236,1.62549,0.5352,0.52806,0.5125,0.23116,1.76798,1.89862,1.69866,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,465.703,1.75482,1.83882,1.6176,0.53226,0.56023,0.52388,0.23771,1.72914,1.81501,1.60481,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,500.609,1.73126,1.79633,1.59146,0.50072,0.54135,0.50877,0.23564,1.7194,1.82046,1.59848,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,535.172,1.71768,1.7721,1.57405,0.59988,0.60834,0.62451,0.29901,1.64751,1.49764,1.5687,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,569.914,1.68817,1.72088,1.54822,0.54554,0.48996,0.48433,0.22141,1.76844,1.79361,1.6723,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,604.931,1.68336,1.68905,1.54889,0.60229,0.59351,0.61125,0.29398,1.62912,1.63395,1.56063,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,639.542,1.65633,1.68925,1.53972,0.64129,0.65267,0.67463,0.32736,1.5872,1.44276,1.50959,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,674.103,1.65541,1.67502,1.52336,0.64663,0.6458,0.67782,0.34409,1.55495,1.40095,1.50062,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,708.592,1.63354,1.6413,1.51691,0.64616,0.66206,0.6963,0.34966,1.57972,1.35144,1.51184,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,743.187,1.63034,1.60873,1.51822,0.68427,0.69191,0.72509,0.37584,1.52404,1.29654,1.46772,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,777.851,1.61494,1.56033,1.5005,0.6647,0.65309,0.7105,0.34565,1.57523,1.35957,1.52119,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,812.522,1.59527,1.54702,1.48196,0.70639,0.68376,0.73577,0.38414,1.5287,1.29617,1.49831,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,847.28,1.58907,1.54112,1.48368,0.65704,0.69023,0.72873,0.37356,1.52911,1.32375,1.47148,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,881.786,1.58038,1.53181,1.4795,0.69733,0.68598,0.74413,0.39863,1.53723,1.28371,1.48399,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,916.63,1.57198,1.49855,1.46784,0.72479,0.68229,0.7556,0.39147,1.50189,1.2931,1.44892,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,951.34,1.53473,1.45346,1.44658,0.73266,0.6962,0.75762,0.39896,1.48434,1.23599,1.44017,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,986.17,1.54399,1.45793,1.44738,0.74873,0.71355,0.78954,0.4131,1.52677,1.19361,1.47,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,1020.71,1.53251,1.44168,1.44242,0.66775,0.7093,0.7398,0.38613,1.53257,1.28565,1.486,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1055.51,1.51901,1.41305,1.43285,0.74014,0.7172,0.79455,0.428,1.46589,1.19681,1.41838,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,1090.44,1.51533,1.4042,1.42957,0.74126,0.74233,0.78772,0.41981,1.48023,1.15489,1.4167,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,1125.39,1.49837,1.37883,1.41357,0.724,0.7463,0.78084,0.4158,1.50459,1.20386,1.43741,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1160.46,1.49495,1.36559,1.40546,0.70015,0.71715,0.76832,0.40478,1.50482,1.2047,1.42831,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1195.19,1.48081,1.35873,1.40143,0.74788,0.73778,0.79555,0.43071,1.43966,1.15969,1.40008,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,1230.06,1.46848,1.32018,1.39405,0.74746,0.75081,0.8101,0.44404,1.43931,1.11899,1.39328,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,1265.31,1.45649,1.31394,1.38617,0.77613,0.74663,0.82097,0.44321,1.4551,1.12277,1.40368,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,1300.5,1.4532,1.29181,1.3883,0.78022,0.75274,0.81833,0.45199,1.45602,1.10018,1.41002,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
