epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.907,1.91347,4.72356,0.01752,0.5376,0.43932,0.42196,0.18853,1.64584,2.04739,0.0188,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,285.037,1.72608,2.06315,0.01498,0.55902,0.5797,0.5564,0.25913,1.69574,1.53495,0.02022,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,393.38,1.79246,2.0185,0.01617,0.41034,0.42215,0.34101,0.14693,1.98483,2.39689,0.0266,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,501.302,1.89486,2.1669,0.01771,0.423,0.44558,0.39607,0.15675,1.99967,2.04691,0.02631,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,609.175,1.88415,2.10254,0.01781,0.42772,0.48181,0.4051,0.16515,1.86682,2.36745,0.02497,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,717.062,1.8619,2.01312,0.01733,0.56915,0.55278,0.53243,0.2293,1.86628,1.83997,0.02429,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,824.749,1.82566,1.91251,0.01702,0.57394,0.61527,0.61406,0.28269,1.73593,1.48013,0.02186,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,933.062,1.77147,1.79923,0.01624,0.62555,0.60439,0.63181,0.30355,1.70527,1.44918,0.02165,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1041.12,1.77335,1.75497,0.01609,0.62569,0.64178,0.66254,0.30469,1.71546,1.34966,0.0219,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1149.47,1.75568,1.71156,0.01572,0.67132,0.61877,0.68166,0.32505,1.68202,1.34775,0.021,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1257.45,1.72769,1.64825,0.0154,0.61144,0.61904,0.64343,0.31401,1.63307,1.43247,0.02045,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1365.38,1.69762,1.60447,0.01518,0.65582,0.71732,0.7288,0.35602,1.63075,1.28584,0.01967,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1473.49,1.68009,1.55409,0.01499,0.68135,0.68552,0.72427,0.36077,1.62228,1.20201,0.01995,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1581.81,1.65635,1.52048,0.01458,0.71873,0.6988,0.75878,0.38166,1.63751,1.13964,0.01994,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1690,1.63689,1.44023,0.01436,0.60448,0.62852,0.63831,0.30749,1.68639,1.53224,0.02035,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1797.87,1.62242,1.39643,0.014,0.72887,0.73956,0.8075,0.41465,1.59531,1.02287,0.01879,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1905.86,1.61122,1.34341,0.014,0.69711,0.71645,0.7583,0.37922,1.63847,1.13874,0.01929,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2013.75,1.60137,1.35193,0.01377,0.68432,0.67714,0.71457,0.36082,1.64665,1.24551,0.01998,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2121.83,1.57703,1.30644,0.01371,0.75125,0.69945,0.77355,0.40134,1.59228,1.06901,0.01945,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2230.1,1.57789,1.29045,0.01353,0.71988,0.76111,0.80153,0.42598,1.55492,1.00808,0.01862,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2338.35,1.53768,1.21807,0.0131,0.72416,0.67596,0.73943,0.37506,1.60977,1.20246,0.01948,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2446.27,1.5118,1.21587,0.01287,0.73542,0.78902,0.81072,0.43598,1.54382,0.97726,0.01828,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2554.29,1.50791,1.19271,0.01289,0.75159,0.75922,0.81067,0.42378,1.57419,0.96492,0.01815,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2662.09,1.49002,1.19859,0.01276,0.75816,0.76978,0.81589,0.43804,1.53057,1.00933,0.01784,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2770.02,1.47675,1.13751,0.01228,0.79118,0.74879,0.83699,0.45908,1.5068,0.91282,0.01801,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2878.05,1.43497,1.07959,0.01203,0.79364,0.75549,0.83267,0.46784,1.48886,0.92728,0.01789,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2986.31,1.43303,1.06926,0.01185,0.76275,0.78739,0.83083,0.44722,1.52918,0.93923,0.01769,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,3094.04,1.41373,1.04404,0.01177,0.74684,0.76599,0.80425,0.42584,1.54887,1.04176,0.01838,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3201.56,1.38823,1.02427,0.01157,0.80502,0.79587,0.85625,0.46691,1.49511,0.84516,0.01763,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3309.4,1.37254,1.021,0.01114,0.77721,0.78696,0.83387,0.45251,1.52379,0.92151,0.01792,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3417.08,1.34767,0.98235,0.01105,0.76826,0.81746,0.841,0.46235,1.48494,0.93612,0.01722,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3524.82,1.33915,0.95563,0.01113,0.78769,0.77579,0.83931,0.46124,1.47735,0.88004,0.01724,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3632.56,1.32278,0.93919,0.01064,0.8232,0.78946,0.86023,0.48166,1.45691,0.83809,0.01666,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3740.77,1.29118,0.91304,0.01054,0.81677,0.80849,0.87366,0.49221,1.44182,0.83314,0.01658,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3848.94,1.27397,0.91303,0.01034,0.78204,0.81701,0.86764,0.48687,1.44709,0.83192,0.01631,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3956.67,1.24551,0.86314,0.01023,0.80855,0.82356,0.87089,0.49184,1.44263,0.81494,0.0165,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,4064.27,1.23933,0.84622,0.01009,0.82941,0.81508,0.87351,0.50578,1.42465,0.81281,0.01631,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,4172.79,1.21731,0.8331,0.0097,0.83461,0.78423,0.8629,0.48827,1.45051,0.84939,0.01636,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4280.61,1.19646,0.81842,0.00948,0.79637,0.84218,0.87039,0.49161,1.46304,0.81577,0.01662,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4388.45,1.17503,0.78976,0.00947,0.81099,0.82741,0.87549,0.50405,1.44133,0.8329,0.01648,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4497.78,1.1272,0.58853,0.01052,0.84104,0.7768,0.86789,0.49767,1.43631,0.87643,0.0163,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4605.34,1.09369,0.54579,0.01014,0.81451,0.83748,0.88646,0.5108,1.43243,0.81782,0.0162,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4713.14,1.06343,0.53918,0.00974,0.79869,0.82652,0.87506,0.50553,1.45737,0.83804,0.01629,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4820.75,1.03643,0.54067,0.00949,0.82208,0.82621,0.88314,0.51832,1.41852,0.85031,0.01609,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4928.51,1.00621,0.50631,0.00912,0.84011,0.82965,0.88336,0.51099,1.43345,0.82988,0.01626,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,5035.89,0.99046,0.48382,0.00892,0.83822,0.83164,0.87684,0.51379,1.43243,0.84535,0.01625,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,5142.91,0.95754,0.45441,0.00856,0.84501,0.80782,0.88303,0.50794,1.44235,0.84319,0.01625,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5250.19,0.93862,0.45998,0.00844,0.83044,0.82796,0.87913,0.51791,1.40424,0.83674,0.01597,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5357.29,0.91838,0.44841,0.00822,0.82232,0.81843,0.87722,0.51522,1.41834,0.85988,0.01613,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5464.77,0.90761,0.44961,0.00807,0.84013,0.81038,0.88038,0.51506,1.42411,0.839,0.01611,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
