epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,269.887,1.77854,3.40882,0.01571,0.53007,0.48569,0.48839,0.23717,1.65345,1.77406,0.01989,0.00997691,0.00332564,0.00997691,0.00332564,0.0767206,0.0700693,0.00997691,0.00332564
2,484.659,1.72206,1.82972,0.01519,0.60907,0.58755,0.6038,0.29273,1.69786,1.51053,0.02102,0.0195814,0.00652712,0.0195814,0.00652712,0.0529917,0.0399374,0.0195814,0.00652712
3,668.05,1.78066,1.86196,0.01614,0.43117,0.48847,0.40616,0.16618,1.96785,2.13163,0.02634,0.0287898,0.00959661,0.0287898,0.00959661,0.0288668,0.00967359,0.0287898,0.00959661
4,851.636,1.86119,1.9998,0.01723,0.45419,0.43867,0.38156,0.15988,2.01979,2.0902,0.02705,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1034.43,1.78711,1.85592,0.01629,0.54785,0.57795,0.56834,0.25264,1.8072,1.59399,0.02335,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1218.22,1.74189,1.70505,0.01575,0.63654,0.59533,0.65094,0.32133,1.65638,1.34449,0.02052,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1402.13,1.70638,1.62325,0.01511,0.6484,0.64528,0.68467,0.33403,1.64785,1.25228,0.02061,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1585.66,1.67274,1.54224,0.01476,0.72194,0.66324,0.73345,0.35372,1.67171,1.25423,0.02064,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1768.54,1.64719,1.46426,0.01449,0.67504,0.70394,0.7323,0.3778,1.58334,1.11927,0.01914,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1951.73,1.60595,1.4049,0.01404,0.6923,0.6934,0.74017,0.37828,1.64808,1.18717,0.02012,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
