epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,159.627,1.91606,4.73755,0.01739,0.49133,0.42625,0.39567,0.17947,1.70086,2.08143,0.02009,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,282.812,1.73863,2.07793,0.0151,0.59508,0.5075,0.54306,0.25528,1.72996,1.66823,0.02168,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,391.481,1.78752,2.07449,0.01595,0.45351,0.37957,0.34642,0.14654,1.9774,2.38698,0.02545,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,499.549,1.89909,2.14318,0.01788,0.41577,0.56675,0.44071,0.17431,1.9122,2.05506,0.02581,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,607.66,1.8773,2.10814,0.01788,0.53122,0.48992,0.50321,0.21705,1.88188,1.82784,0.02391,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,715.716,1.86823,1.98441,0.01737,0.55457,0.48642,0.4853,0.21611,1.88979,1.75583,0.02549,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,823.672,1.80139,1.92421,0.01663,0.56216,0.58979,0.58294,0.25741,1.74661,1.586,0.02171,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,932.165,1.79311,1.80197,0.01636,0.52105,0.59212,0.53941,0.25398,1.75722,1.70102,0.02329,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1040.21,1.78023,1.76142,0.01614,0.60102,0.60246,0.59812,0.28137,1.75476,1.53091,0.02239,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1148.9,1.75177,1.70302,0.0157,0.66614,0.63766,0.66605,0.30984,1.77938,1.39158,0.02268,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1257.3,1.7266,1.64763,0.01539,0.65045,0.67272,0.68635,0.34139,1.63739,1.32006,0.02046,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1367.2,1.69656,1.62494,0.01522,0.57594,0.63588,0.62768,0.28685,1.74585,1.516,0.02206,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1475.37,1.67587,1.56541,0.01503,0.68383,0.66909,0.70637,0.348,1.65861,1.29736,0.02068,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1583.93,1.66847,1.51642,0.01469,0.74267,0.69907,0.75303,0.38129,1.62782,1.10879,0.01995,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1692.52,1.64518,1.44462,0.01445,0.68712,0.69618,0.74825,0.37961,1.61235,1.13541,0.01935,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1800.75,1.62442,1.41389,0.01401,0.74532,0.69693,0.78301,0.40116,1.57237,1.0822,0.01907,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1909.29,1.6131,1.38017,0.01404,0.70662,0.70779,0.76535,0.38608,1.60891,1.18073,0.01948,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2017.6,1.59817,1.35688,0.01376,0.65389,0.69511,0.70582,0.34742,1.62482,1.26675,0.01924,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2125.81,1.57397,1.3364,0.01377,0.72932,0.7102,0.77618,0.3944,1.6071,1.08566,0.01907,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2234,1.56164,1.31487,0.01345,0.71372,0.7729,0.80213,0.40729,1.56841,1.01422,0.01907,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2342.64,1.52021,1.25985,0.01305,0.73704,0.7594,0.79759,0.42147,1.53972,1.00538,0.01855,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2451.3,1.5174,1.23953,0.01294,0.73249,0.75023,0.80131,0.41799,1.53592,1.07931,0.01817,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2559.5,1.49655,1.21642,0.01275,0.73471,0.7252,0.78347,0.42337,1.53499,1.05692,0.01858,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2667.94,1.49027,1.19718,0.01282,0.69502,0.74444,0.77832,0.41025,1.59702,1.09209,0.01906,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2776.14,1.47208,1.15157,0.01231,0.78054,0.73508,0.81153,0.44499,1.52141,0.98155,0.01774,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2884.64,1.43411,1.10427,0.01198,0.77586,0.75478,0.82255,0.44959,1.5256,0.91512,0.0185,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2993.16,1.4301,1.08107,0.01181,0.77638,0.76704,0.83405,0.45962,1.50816,0.94607,0.01775,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,3101.84,1.41105,1.05467,0.01164,0.75882,0.76777,0.80852,0.44034,1.51491,0.94163,0.01807,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3210.26,1.39351,1.0194,0.01144,0.78958,0.76563,0.82906,0.4354,1.53688,0.96045,0.01774,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3318.48,1.37957,0.98697,0.01123,0.80567,0.7502,0.84011,0.45813,1.495,0.89419,0.017,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3426.7,1.35658,0.97093,0.01106,0.77362,0.78344,0.8437,0.45991,1.48164,0.96403,0.01718,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3535.25,1.33428,0.95246,0.01099,0.74202,0.80144,0.81367,0.45345,1.46255,0.91001,0.0166,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3643.55,1.31779,0.93373,0.01063,0.78062,0.79847,0.84689,0.47018,1.46854,0.88562,0.01666,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3752.13,1.29438,0.9083,0.01059,0.80304,0.79833,0.84903,0.47457,1.47873,0.86831,0.01706,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3860.99,1.27389,0.9194,0.01033,0.80322,0.78046,0.85218,0.47585,1.47801,0.86391,0.01664,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3969.42,1.25411,0.86384,0.01029,0.80593,0.79922,0.84761,0.48264,1.45195,0.83252,0.01658,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,4077.93,1.24252,0.84193,0.01004,0.81562,0.80994,0.85792,0.48879,1.44822,0.85374,0.01686,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,4186.59,1.21438,0.84327,0.00961,0.83691,0.77986,0.86062,0.49264,1.45189,0.84652,0.01668,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4295.34,1.20564,0.80317,0.00954,0.82907,0.80309,0.86629,0.49439,1.44713,0.8234,0.0164,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4403.92,1.18658,0.78221,0.00953,0.81147,0.81868,0.86484,0.4959,1.4604,0.85496,0.01669,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4514.47,1.13884,0.59577,0.0107,0.81282,0.8058,0.84873,0.47941,1.44507,0.85869,0.01641,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4622.43,1.09521,0.54977,0.0101,0.81378,0.81298,0.86033,0.49179,1.46457,0.84228,0.01658,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4730.22,1.07492,0.54068,0.00987,0.81414,0.80413,0.85949,0.49327,1.45773,0.83208,0.01652,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4838.08,1.04473,0.53372,0.00959,0.8337,0.81063,0.86548,0.49897,1.45799,0.82588,0.01651,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4946.16,1.01407,0.49089,0.00921,0.81975,0.82597,0.86882,0.50038,1.45297,0.81532,0.01654,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,5054.33,0.99294,0.48515,0.00902,0.82084,0.81655,0.86204,0.49524,1.47003,0.8731,0.01665,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,5162.27,0.96962,0.46932,0.00868,0.83296,0.81753,0.86678,0.50397,1.4488,0.82894,0.01645,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5270.41,0.95663,0.46286,0.00867,0.83624,0.8117,0.86701,0.50616,1.44662,0.84698,0.01639,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5378.71,0.93448,0.45606,0.00843,0.81826,0.83252,0.86684,0.50657,1.44513,0.85036,0.0163,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5487,0.91899,0.44904,0.00818,0.83168,0.82858,0.86952,0.50753,1.44308,0.84421,0.0162,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
