epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.678,1.95111,2.87369,1.87702,0.40253,0.35404,0.29415,0.11562,1.99036,2.41907,1.91659,0.00993151,0.0033105,0.00993151,0.0033105,0.0768265,0.0702055,0.00993151,0.0033105
2,261.599,1.86232,2.11743,1.732,0.35029,0.37421,0.31921,0.12257,1.98692,3.31381,2.03575,0.0195369,0.00651229,0.0195369,0.00651229,0.0530985,0.0400739,0.0195369,0.00651229
3,361.323,1.96368,2.32429,1.841,0.10299,0.3321,0.08551,0.02953,2.49188,11.446,2.60669,0.0287462,0.00958207,0.0287462,0.00958207,0.0289745,0.00981038,0.0287462,0.00958207
4,460.488,2.05596,2.44485,1.91841,0.23107,0.26368,0.15241,0.05785,2.29608,4.23787,2.32248,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,559.855,1.9702,2.2863,1.8809,0.34029,0.39573,0.27762,0.10312,2.04486,3.28027,2.05549,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,658.79,1.89979,2.15635,1.8126,0.39777,0.39233,0.34179,0.14802,1.93877,2.56788,1.96888,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,758.027,1.83619,2.0468,1.76164,0.43788,0.45141,0.42961,0.18275,1.78658,2.52005,1.79695,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,857.497,1.77977,1.92974,1.7217,0.48722,0.53809,0.50004,0.22446,1.75666,1.92669,1.80005,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,957.183,1.77115,1.87649,1.71154,0.52831,0.52905,0.55605,0.25772,1.72108,1.76623,1.73431,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1056.66,1.72107,1.81004,1.67966,0.59517,0.57063,0.58465,0.27519,1.69429,1.64505,1.74489,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1155.81,1.70983,1.75648,1.66728,0.59423,0.64387,0.62113,0.30136,1.6261,1.58199,1.65499,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1255.52,1.68206,1.7169,1.65043,0.5797,0.62985,0.60787,0.29078,1.63919,1.76179,1.67414,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1354.55,1.6501,1.65306,1.62922,0.64531,0.63155,0.65565,0.32374,1.62583,1.52271,1.64144,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1453.87,1.6302,1.61065,1.60717,0.6734,0.6145,0.67605,0.33596,1.5788,1.35755,1.64372,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1552.95,1.60652,1.55023,1.59394,0.63413,0.67259,0.69083,0.34896,1.53816,1.42214,1.6075,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1652.28,1.58607,1.52057,1.57243,0.64687,0.72028,0.7309,0.37408,1.5461,1.3404,1.60602,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1751.19,1.56472,1.49561,1.5657,0.6436,0.66545,0.69429,0.33542,1.6267,1.3785,1.67801,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1849.97,1.55912,1.47735,1.57316,0.70024,0.7038,0.73416,0.37549,1.52418,1.37162,1.59148,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1949.04,1.5355,1.43769,1.54997,0.69807,0.71322,0.76406,0.40329,1.48404,1.14763,1.55608,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2048.18,1.52426,1.40215,1.53653,0.72592,0.71977,0.78619,0.41182,1.48519,1.15814,1.54772,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2147.2,1.5096,1.35495,1.52576,0.72651,0.7124,0.7828,0.40931,1.47501,1.15793,1.56084,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2246.02,1.47861,1.33703,1.50494,0.68908,0.74849,0.77459,0.41385,1.50803,1.22195,1.5817,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2345.03,1.46553,1.3128,1.50606,0.74011,0.77085,0.81176,0.44052,1.44179,1.11241,1.53358,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2444.29,1.45586,1.30904,1.49426,0.73728,0.71394,0.79116,0.42102,1.48505,1.15294,1.54589,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2542.82,1.44212,1.25321,1.47297,0.72819,0.70958,0.75669,0.39481,1.51497,1.26231,1.55879,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
